ticker,weight,weight_pct
HYG,0.29999999999999977,30.00%
AAPL,0.2369355795229935,23.69%
IEF,0.17470756002308838,17.47%
JPM,0.13218011082495762,13.22%
JNJ,0.07677085138957997,7.68%
NVDA,0.05421269208409809,5.42%
GLD,0.015912896031864594,1.59%
VNQ,0.009280310123417934,0.93%
