date,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15,weight_16,weight_17,weight_18,weight_19,weight_20,weight_21,turnover,transaction_cost
2020-05-07,2.2627593987176062e-15,0.050963254183148086,1.1428328539914407e-15,1.028300762588603e-15,0.03981798025226836,2.479703031773662e-15,1.533123813900232e-15,1.547088053363198e-16,1.907526414019499e-15,8.784104173589846e-16,7.330187803818633e-16,0.17359674584563578,0.29999999999999566,1.195888825312201e-15,0.0,0.12474951990997876,5.041626895668913e-16,9.954160779076936e-16,3.2179371048563907e-14,0.01087249980894358,5.452352431384291e-16,0.29999999999998217,1.4440735853320263,0.0014440735853320263
2020-05-28,0.037833600798839025,0.028177471541889036,0.0,0.0,0.019594955647282676,0.0,0.0,1.7385181835804864e-16,5.071220136529328e-16,0.0,0.0,0.17196713732853738,0.29999999999999655,0.0,2.512909585278249e-16,0.1287453697609594,0.0,0.0,0.0,0.013681464922498542,0.0,0.29999999999999655,0.08927683152677567,8.927683152677566e-05
2020-06-18,0.09288254162439817,1.5333329224376246e-15,1.842059491052872e-16,3.111931285576519e-16,3.5796289977324536e-16,8.973128230033156e-17,4.82375099065957e-16,2.5851445550201246e-17,5.336849668788335e-16,1.3301805403681533e-16,5.968532959532702e-17,0.175746519362763,0.2999999999999995,5.092497604164414e-16,4.612602617568018e-17,0.1104213186745869,9.76188531051636e-17,1.670484497257041e-16,1.6017731845757721e-15,0.02094962033825197,0.0,0.2999999999999943,0.13219295655108967,0.00013219295655108966
2020-07-09,0.09507127482624889,0.01820102300614048,5.341538843184332e-15,3.6919997766469965e-15,1.8939656700606146e-17,4.435389772475261e-15,3.6370578315562936e-15,9.699814736141561e-16,2.662254368780008e-14,1.5038900571910646e-15,1.1657273995928357e-15,0.18430738585404574,0.2999999999998984,1.7019839584995332e-14,0.0,0.1378550303130666,5.749368266628333e-15,1.1769776911982674e-15,3.052906641680049e-14,0.014863952731583968,2.050382162232383e-15,0.24970133326891197,0.11276866867570362,0.00011276866867570362
2020-07-30,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,1.4793245939788888,0.0014793245939788888
2020-08-20,0.1694738325646445,9.374283033852793e-16,7.951547549914142e-18,1.6864764793012021e-16,0.0,2.9609561330579126e-16,3.288385189148535e-16,3.12792326762068e-17,3.3545215216701507e-16,1.8328437725867452e-16,0.0,0.2764897156367422,0.29999999999999943,6.002414277422874e-16,1.7076184216646695e-17,0.13818495591988064,0.0,2.7267684638010437e-17,2.1781892695776905e-15,0.05216896781350638,1.457167719820518e-16,0.06368252806522187,1.454545454545444,0.001454545454545444
2020-09-10,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,1.454545454545444,0.001454545454545444
2020-10-01,3.0281001060116703e-18,6.0290344901248175e-18,0.018470782604952583,5.579673911579004e-19,0.052171081558324534,0.059127531751264506,0.004929704283407541,0.016619894202043857,0.015444489803957245,0.025646710437226085,0.02702374331480934,0.1425406492163374,0.12751384136877397,0.09400891893453486,0.07352212897842011,0.09793942916775018,0.05372380613018625,0.07280882772969831,4.336808689942017e-19,1.0125060226170764e-19,0.0029016591865118953,0.11560680133180125,0.8688351232432736,0.0008688351232432736
2020-10-22,0.0,0.0,0.00341315537501786,0.0,0.048464911156076276,0.05791157503305043,1.8036086130007874e-18,0.0023709103079312555,5.204170427930421e-18,0.014658167396008875,0.016716618338032705,0.16507597247633368,0.148006141898243,0.10195019006953311,0.07726253685387886,0.10555696167793312,0.04210098825466341,0.07664480674337008,1.5217720089360949e-18,0.0,0.004887338843876215,0.1349797255760511,0.17504283645078228,0.0001750428364507823
2020-11-12,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,1.013523824787121,0.001013523824787121
