Strategy,Total Return,Annual Return,Volatility,Sharpe Ratio,Max Drawdown
Equal Weight,87.27%,11.44%,14.11%,0.8107,-23.12%
Factor Selected,78.52%,10.52%,15.78%,0.6668,-26.68%
